millis,sens0,sens1,sens2
58344,464,504,467
58384,469,451,442
58423,464,494,458
58462,462,463,459
58502,472,442,464
58541,468,470,475
58580,460,475,456
58619,466,479,460
58659,466,495,458
58698,458,443,461
58745,458,468,465
58789,467,441,462
58845,457,474,464
58889,469,480,470
58932,465,450,458
58971,471,436,459
59010,461,487,468
59050,465,446,463
59089,452,472,500
59129,442,482,383
59168,484,498,456
59221,469,443,479
59260,477,460,480
59299,469,433,479
59339,478,479,411
59378,468,467,517
59418,482,404,508
59460,497,499,465
59499,458,457,540
59539,453,466,464
59578,424,467,592
59618,462,449,426
59657,459,478,428
59697,491,441,340
59736,457,445,418
59776,514,480,422
59815,441,442,523
59854,511,482,509
59894,472,510,427
59940,425,496,476
59979,477,431,448
60019,459,441,430
60058,475,443,414
60098,440,474,430
60137,445,440,477
60177,464,440,451
60216,469,458,489
60256,476,494,446
60295,467,466,458
60343,464,465,453
60386,473,459,449
60430,464,447,453
60474,469,467,463
60518,466,469,455
60561,463,447,463
60600,468,458,470
60639,473,467,460
60678,459,480,453
60717,469,460,469
60763,464,420,474
60803,468,474,457
60842,465,470,466
60881,460,437,461
60920,472,459,463
60960,456,472,468
60999,464,469,464
61045,457,462,458
61084,465,470,462
61123,468,469,446
61162,462,459,485
61202,466,459,463
61241,468,471,465
61280,464,458,468
61319,472,479,451
61359,471,464,474
61398,462,403,452
61437,458,489,457
61477,460,486,427
61516,468,480,498
61555,489,449,476
61594,470,474,507
61634,444,446,516
61673,473,450,399
61712,497,460,473
61752,519,448,428
61791,451,433,406
61830,411,455,406
61870,516,532,402
61911,536,432,341
61959,464,501,448
62003,477,446,335
62047,481,457,430
62091,473,516,402
62145,432,487,691
62184,514,481,466
62224,422,424,448
62263,468,504,525
62302,492,470,460
62342,481,483,442
62381,474,455,423
62421,471,476,470
62460,473,454,437
62499,467,618,452
62539,476,464,463
62578,467,427,460
62618,466,486,449
62657,466,432,459
62696,460,412,453
62736,463,488,474
62775,464,478,467
62815,464,441,450
62854,471,438,451
62894,462,467,452
62933,461,461,450
62973,468,473,464
63012,455,465,462
63051,470,460,440
63104,469,492,481
63144,457,475,454
63185,465,444,467
63232,457,459,450
63271,468,459,473
63310,465,481,446
63350,464,451,465
63389,468,477,515
63429,474,458,473
63468,473,458,467
63508,466,485,459
63555,475,480,480
63599,461,453,475
63643,463,480,445
63687,466,474,447
63731,460,473,471
63775,463,488,468
63814,471,453,467
63853,469,452,476
63892,427,474,432
63931,480,460,493
63971,470,489,491
64010,494,461,519
64049,514,430,469
64088,501,494,508
64128,389,442,425
64167,418,426,526
64206,469,452,595
64245,473,452,409
64285,481,442,384
64330,464,439,586
64370,300,488,397
64409,451,382,434
64451,476,483,313
64490,406,484,458
64529,470,452,495
64568,425,473,475
64608,458,442,379
64647,422,529,402
64686,471,473,429
64726,470,478,437
64765,480,419,464
64804,483,436,434
64843,471,516,477
64883,470,493,473
64922,473,464,449
64961,461,398,460
65001,467,424,453
65040,469,456,462
65079,457,500,458
65127,463,478,481
65170,470,453,469
65214,463,495,470
65259,470,471,468
65303,480,445,460
65347,463,467,468
65386,467,441,470
65425,468,475,448
65464,435,454,457
65504,473,467,437
65543,464,464,479
65582,449,444,490
65622,477,467,458
65661,461,489,526
65701,475,451,444
65747,463,452,406
65786,458,467,592
65826,462,507,555
65865,494,457,440
65904,500,450,424
65944,506,499,442
65983,470,448,601
66023,491,484,508
66062,532,434,441
66102,466,454,434
66141,421,500,449
66180,469,427,461
66220,470,432,513
66259,458,439,424
66299,480,443,581
66338,499,475,428
66378,477,478,494
66417,482,458,523
66463,472,491,478
66503,529,462,455
66542,453,478,458
66582,448,450,693
66621,521,471,463
66661,474,439,456
66708,472,483,451
66752,478,443,470
66796,466,399,477
66840,470,463,458
66884,462,458,450
66927,463,468,459
66969,474,460,455
67022,472,469,459
67061,462,488,461
67100,466,417,468
67139,470,491,466
67178,456,500,466
67218,459,439,470
67257,466,456,450
67296,458,444,468
67335,463,466,466
67375,466,497,465
67414,461,448,474
67453,464,461,469
67492,466,469,497
67532,477,464,468
67578,464,465,457
67617,460,454,472
67656,476,440,465
67695,455,464,469
67735,465,425,469
67774,466,469,452
67813,471,461,449
67852,446,457,419
67892,464,446,448
67931,466,491,472
67970,474,456,477
68010,443,476,446
68049,465,460,461
68088,470,482,459
68127,480,477,547
68167,464,477,466
68209,511,398,500
68248,528,483,442
68295,482,486,478
68339,458,481,421
68383,474,430,431
68427,503,454,308
68471,504,483,413
68515,454,505,531
68555,530,466,425
68594,493,432,436
68633,465,447,528
68680,460,461,467
68719,453,470,517
68758,487,443,468
68798,472,458,475
68837,468,447,459
68877,473,493,406
68916,432,443,457
68955,474,432,422
68995,465,471,482
69034,473,448,470
69074,467,448,458
69113,458,470,466
69153,470,457,467
69192,461,497,461
69231,457,472,466
69271,463,506,458
69310,459,407,479
69350,457,472,466
69389,473,479,466
69429,463,482,470
69471,474,426,473
69510,461,501,461
69549,464,436,486
69589,468,500,464
69628,457,446,466
69668,467,397,448
69707,464,466,482
69753,474,470,481
69793,464,513,477
69840,473,477,479
69884,465,457,457
69928,459,488,444
69972,472,468,464
70016,471,464,441
70060,463,461,513
70099,483,405,425
70138,477,576,486
70177,461,550,495
70216,457,472,436
70256,477,542,442
70295,473,450,501
70334,461,463,515
70373,459,488,493
70413,452,454,304
70452,465,499,440
70491,462,527,473
70530,456,464,450
70570,467,413,469
70609,471,461,541
70648,455,493,468
70687,467,501,451
70727,455,473,497
70773,474,483,468
70812,458,448,469
70858,478,433,473
70910,466,445,460
70950,450,491,459
70989,466,425,470
71028,457,431,463
71067,466,491,475
71107,465,448,462
71146,460,470,457
71185,469,414,481
71225,469,471,469
71264,466,459,474
71303,470,415,462
71342,465,466,463
71382,466,488,475
71429,460,490,459
71473,476,465,478
71517,467,453,463
71561,469,435,452
71605,472,392,465
71649,465,430,485
71689,463,409,481
71728,464,518,432
71767,466,483,463
71807,471,465,473
71846,472,458,482
71886,472,418,469
71925,471,387,459
71974,494,507,454
72013,464,425,496
72052,477,471,488
72092,477,448,478
72131,472,514,448
72171,472,518,535
72210,463,434,420
72249,476,461,508
72289,465,460,458
72328,476,477,511
72368,456,433,499
72407,474,492,429
72447,463,502,405
72486,469,466,437
72526,466,491,501
72565,455,491,462
72604,470,422,488
72644,465,476,478
72683,457,450,468
72723,464,487,454
72762,457,458,454
72802,464,424,465
72841,467,491,483
72881,458,485,455
72920,469,480,467
72960,461,467,473
73007,469,483,465
73062,462,475,472
73106,474,469,462
73150,467,450,442
73194,464,461,465
73235,468,454,445
73275,468,481,458
73314,462,441,470
73353,467,465,431
73392,467,400,461
73432,461,446,464
73471,473,506,471
73510,463,509,472
73549,461,450,467
73589,468,438,442
73628,469,477,403
