millis,sens0,sens1,sens2
50800,471,496,524
50900,460,368,484
51000,486,450,455
51100,466,443,490
51200,464,515,492
51300,478,449,492
51400,473,467,477
51500,468,450,480
51600,463,436,474
51700,470,441,463
51800,469,446,471
51900,469,466,468
52000,453,490,482
52100,464,372,485
52200,462,392,425
52300,453,471,460
52400,478,442,475
52500,468,468,458
52600,482,535,497
52700,493,457,485
52800,396,467,477
52900,467,453,493
53000,467,473,494
53100,483,465,496
53200,495,497,491
53300,465,487,482
53400,471,460,471
53500,469,450,478
53600,484,448,427
53700,490,452,472
53800,477,440,478
53900,516,454,493
54000,496,530,480
54100,479,508,403
54200,478,430,534
54300,558,458,401
54400,547,454,554
54500,503,494,448
54600,467,475,491
54700,455,438,472
54800,454,452,488
54900,466,345,484
55000,473,497,488
55100,445,545,481
55200,451,461,472
55300,470,461,479
55400,443,440,476
55500,450,447,479
55600,461,462,486
55700,435,353,478
55800,457,393,479
55900,459,444,477
56000,371,450,488
56100,451,444,486
56200,467,463,472
56300,372,511,501
56400,482,437,444
56500,529,452,435
56600,484,458,483
56700,471,464,492
56800,457,457,479
56900,460,429,486
57000,454,457,485
57100,460,480,483
57200,469,449,485
57300,477,485,474
57400,453,468,476
57500,462,485,477
57600,495,482,480
57700,478,450,484
57800,414,419,493
57900,459,451,484
58000,540,446,488
58100,403,453,499
58200,548,445,504
58300,455,468,488
58400,472,464,499
58500,494,455,489
58600,476,431,483
58700,463,467,483
58800,464,461,475
58900,466,476,481
59000,466,491,481
59100,470,467,483
59200,463,463,473
59300,487,497,480
59400,465,518,475
59500,492,492,475
59600,450,446,476
59700,461,478,481
59800,459,482,475
59900,415,418,480
60000,451,463,485
60100,474,480,477
60200,451,426,446
60300,476,420,482
60400,502,433,475
60500,487,451,464
60600,483,479,489
60700,515,452,491
60800,471,375,485
60900,468,481,487
61000,451,460,484
61100,464,485,487
61200,460,485,475
61300,460,447,480
61400,466,461,479
61500,463,493,478
61600,456,470,474
61700,454,450,478
61800,467,457,482
61900,476,460,479
62000,434,468,480
62100,490,475,429
62200,511,465,485
62300,353,392,483
62400,491,455,452
62500,391,458,486
62600,471,444,482
62700,497,477,475
62800,458,430,463
62900,462,454,484
63000,478,565,490
63100,469,450,487
63200,448,396,484
63300,470,497,477
63400,450,483,472
63500,452,392,477
63600,469,406,475
63700,471,492,475
63800,459,431,486
63900,448,552,479
64000,445,520,485
64100,438,519,464
64200,475,413,487
64300,463,514,474
64400,440,496,481
64500,436,357,481
64600,476,453,475
64700,477,436,480
64800,472,447,475
64900,474,457,477
65000,465,471,482
65100,481,461,478
65200,456,469,479
65300,490,448,479
65400,480,444,486
65500,499,436,479
65600,457,456,473
65700,515,443,477
65800,368,429,484
65900,479,524,486
66000,485,470,475
66100,417,397,476
66200,450,572,472
66300,440,471,473
66400,467,478,480
66500,447,475,484
66600,454,472,479
66700,467,436,483
66800,466,416,482
